Part;Value;Device;Package;Description;MANUFACTURER;MANUFACTURER_PART_NUMBER;PRICE;;;;
BAT+;PINHD-1X1;PINHD-1X1;1X01;PIN HEADER;;; 0.050 € ;;Total cost components; 71 € ;per board
BAT-;PINHD-1X1;PINHD-1X1;1X01;PIN HEADER;;; 0.050 € ;;PCB+shipping; 4 € ;unitary price
D1;;DIODE-DO07;DO41;DIODE;Onsemi;UF4004; 0.125 € ;;;;
D2;;DIODE-DO07;DO41;DIODE;Onsemi;UF4004; 0.125 € ;;Materials; 75 € ;EUR
D3;Z=47V;DIODE-DO07;DO41;DIODE;;; 0.373 € ;;;;
D4;Z=47V;DIODE-DO07;DO41;DIODE;;; 0.373 € ;;Assembly time;75;min
D5;Z=3.3V;DIODE-DO07;DO07;DIODE;;; 0.163 € ;;Testing time;30;min
J1;10118194-0001LF;10118194-0001LF;AMPHENOL_10118194-0001LF;Micro Usb, 2.0 Type b, Rcpt, Smt;Amphenol ICC;; 0.343 € ;;Hour cost; 80 € ;€/h
K1;HFD2/005-M-L2-D(257)HFD2-L2_HNG;HFD2/005-M-L2-D(257)HFD2-L2_HNG;HFD2-L2_HNG;Bistable relay;Hongfa;HFD2/005-M-L2-D(257); 2.000 € ;;;;
LED1;SSL-LX3059IGW;SSL-LX3059IGW;SSL-LX3059IGW_LUM;LED BICOLOR 3mm;Lumex;SSL-LX3059IGW; 0.500 € ;;Labor; 140 € ;EUR
METER+;PINHD-1X1;PINHD-1X1;1X01;PIN HEADER;;; 0.050 € ;;;;
METER-;PINHD-1X1;PINHD-1X1;1X01;PIN HEADER;;; 0.050 € ;;Total cost; 215 € ;EUR
OUT+;PINHD-1X1;PINHD-1X1;1X01;PIN HEADER;;; 0.050 € ;;W/ Contingencies, consumables; 269 € ;EUR
OUT-;PINHD-1X1;PINHD-1X1;1X01;PIN HEADER;;; 0.050 € ;;;;
R1;100K;R-EU_0204/7;0204/7;RESISTOR, European symbol 1%;;; 0.100 € ;;;;
R2;15K;R-EU_0204/7;0204/7;RESISTOR, European symbol 1%;;; 0.100 € ;;;;
R3;200;R-EU_0204/7;0204/7;RESISTOR, European symbol;;; 0.100 € ;;;;
R4;10k;R-EU_0204/7;0204/7;RESISTOR, European symbol;;; 0.100 € ;;;;
R5;200;R-EU_0204/7;0204/7;RESISTOR, European symbol;;; 0.100 € ;;;;
R6;200;R-EU_0204/7;0204/7;RESISTOR, European symbol;;; 0.100 € ;;;;
R7;200;R-EU_0204/7;0204/7;RESISTOR, European symbol;;; 0.100 € ;;;;
R8;200;R-EU_0204/7;0204/7;RESISTOR, European symbol;;; 0.100 € ;;;;
R9;200;R-EU_0204/7;0204/7;RESISTOR, European symbol;;; 0.100 € ;;;;
R10;200;R-EU_0204/7;0204/7;RESISTOR, European symbol;;; 0.100 € ;;;;
R11;200;R-EU_0204/7;0204/7;RESISTOR, European symbol;;; 0.100 € ;;;;
R12;200;R-EU_0204/7;0204/7;RESISTOR, European symbol;;; 0.100 € ;;;;
R13;200;R-EU_0204/7;0204/7;RESISTOR, European symbol;;; 0.100 € ;;;;
R14;330;R-EU_0207/10;0207/10;RESISTOR, European symbol 1% 0.5W;;; 0.100 € ;;;;
R15;1k;R-EU_0207/10;0207/10;RESISTOR, European symbol 1% 0.5W;;; 0.100 € ;;;;
R16;2k;R-EU_0207/10;0207/10;RESISTOR, European symbol 1% 0.5W;;; 0.100 € ;;;;
R17;5k49;R-EU_0207/10;0207/10;RESISTOR, European symbol 1% 0.5W;;; 0.100 € ;;;;
R18;7k19;R-EU_0207/10;0207/10;RESISTOR, European symbol 1% 0.5W;;; 0.100 € ;;;;
R19;8k25;R-EU_0207/10;0207/10;RESISTOR, European symbol 1% 0.5W;;; 0.100 € ;;;;
R20;11k;R-EU_0207/10;0207/10;RESISTOR, European symbol 1% 0.5W;;; 0.100 € ;;;;
R21;25k;R-EU_0207/10;0207/10;RESISTOR, European symbol 1% 0.5W;;; 0.100 € ;;;;
R22;3k3;R-EU_0207/10;0207/10;RESISTOR, European symbol 1% 0.5W;;; 0.100 € ;;;;
R23;200;R-EU_0204/7;0204/7;RESISTOR, European symbol;;; 0.100 € ;;;;
RESET_SW;1-1825027-1;1-1825027-1;SW2_1825027-A_TEC;Pressure switch, 90°;TE Connectivity;1-1825027-1; 0.304 € ;;;;
U$1;WEMOS-D32;WEMOS-D32;WEMOS-D32;ESP32-WROOM32 Dev board;;; 14.300 € ;;;;
U1;TLP222A-2(F)DIP8_TOS;TLP222A-2(F)DIP8_TOS;DIP8_TOS;Optocoupler;Toshiba Electronic Devices & Storage Corp.;TLP222A-2(F); 2.400 € ;;;;
U2;TLP222A-2(F)DIP8_TOS;TLP222A-2(F)DIP8_TOS;DIP8_TOS;Optocoupler;Toshiba Electronic Devices & Storage Corp.;TLP222A-2(F); 2.400 € ;;;;
U3;TLP222A-2(F)DIP8_TOS;TLP222A-2(F)DIP8_TOS;DIP8_TOS;Optocoupler;Toshiba Electronic Devices & Storage Corp.;TLP222A-2(F); 2.400 € ;;;;
U4;TLP222A-2(F)DIP8_TOS;TLP222A-2(F)DIP8_TOS;DIP8_TOS;Optocoupler;Toshiba Electronic Devices & Storage Corp.;TLP222A-2(F); 2.400 € ;;;;
U5;TLP222A-2(F)DIP8_TOS;TLP222A-2(F)DIP8_TOS;DIP8_TOS;Optocoupler;Toshiba Electronic Devices & Storage Corp.;TLP222A-2(F); 2.400 € ;;;;
WAKE_SW;1-1825027-1;1-1825027-1;SW2_1825027-A_TEC;Pressure switch, 90°;TE Connectivity;1-1825027-1; 0.304 € ;;;;
1553CBK;;BOX;;117.2 x 79 x 32mm, ABS, IP54;Hammond;1553CBK; 9.640 € ;;;;
Front panel;;;Black plexiglas;Laser cut front panel ;;; 5.000 € ;;;;
Banana jack 1;RED SLOTTED 4MM SKT;;;Connettore a banana RS PRO, Femmina, Nero, 10A;RS PRO;212-1247; 0.795 € ;;;;
Banana jack 2;BLACK SLOTTED 4MM SKT;;;Connettore a banana RS PRO, Femmina, Nero, 10A;RS PRO;212-1243; 0.795 € ;;;;
Banana jack 3;RED SLOTTED 4MM SKT;;;Connettore a banana RS PRO, Femmina, Nero, 10A;RS PRO;212-1247; 0.795 € ;;;;
Banana jack 4;BLACK SLOTTED 4MM SKT;;;Connettore a banana RS PRO, Femmina, Nero, 10A;RS PRO;212-1243; 0.795 € ;;;;
Battery+wire;;;"Max h=10mm;w=57mm;l=80mm";2000 mAh, Li Po 3.7 V;;; 20.000 € ;;;;
